都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,郵便番号,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
131001,0000000001,東京都,,東京都立中央図書館,トウキョウトリツチュウオウトショカン,,1512a,東京都港区南麻布5-7-13,,35.652096,139.726341,03-3442-8451,,,,月火水木金土日,10:00,21:00,(土･日曜日､祝日は～PM5:30)ただし､特別文庫室はAM10～PM5:30､音声･映像資料室はPM1～PM5:30(土･日曜日､祝日はAM10～PM5:30)　休館日：・第1木曜日（祝休日または他の休館日にあたるときは第2木曜日）,個人貸出はしない。カラーコピー設備あり。視覚障害者等サービス資料（録音・点字など）所蔵あり。障害者等サービス(対面朗読･録音図書作成･資料の宅配など)実施あり。コンパクトディスク所蔵あり。,,http://www.library.metro.tokyo.jp/,,106-8575,東京メトロ日比谷線「広尾駅」1番出口下車徒歩8分・東京メトロ南北線・都営地下鉄大江戸線「麻布十番駅」下車徒歩20分,1,利用者用として約20台分の駐車場があります。そのほかに、障害者等のスペースとして、2台分を用意しています。台数に限りがあるため、できるだけ公共交通機関での来館をお願いします。,0,,,0,,0,,,,,2019-03-28
131001,0000000002,東京都,,東京都立多摩図書館,トウキョウトリツタマトショカン,,1512a,東京都国分寺市泉町2-2-26,,35.698081,139.469872,042-359-4020,,,,月火水木金土日,10:00,21:00,(土･日曜日､祝日は～PM5:30)　休館日：・第1木曜日（祝休日または他の休館日にあたるときは第2木曜日）,個人貸出はしない。カラーコピー設備あり。視覚障害者等サービス資料（録音・点字など）所蔵あり。障害者等サービス(対面朗読･録音図書作成･資料の宅配など)実施あり。,,http://www.library.metro.tokyo.jp/,,185-8520,JR「西国分寺駅」南口徒歩7分,1,24時間営業の有料駐車場があります。（普通車18台、バイク3台）そのほかに、障害者等のスペースとして、2台分を用意しています。閲覧エリアご利用者には、2時間分のサービス券を総合案内でお渡しします。台数に限りがあるため、できるだけ公共交通機関での来館をお願いします。,0,,,0,,0,,,,,2019-03-28
130001,0000000003,東京都,,東京都庭園美術館,トウキョウトテイエンビジュツカン,,0802a,東京都港区白金台5-21-9,,35.636947,139.719041,03-3443-0201,,,,月火水木金土日,10:00,18:00,休館日：毎月第2・第4水曜日（祝日の場合は開館、翌日休館）、年末年始,緑あふれる広大な庭園の中でアールデコ様式の建物と美術作品が鑑賞できる美術館,,https://www.teien-art-museum.ne.jp/,,108-0071,JR山手線「目黒駅」東口／東急目黒線「目黒駅」正面口より徒歩7分、 都営三田線・東京メトロ南北線「白金台駅」1番出口より徒歩6分,1,有料,1,200,庭園入園料：一般200円、大学生（専修・各種専門学校含む）160円、中・高校生・65歳以上100円。入館料は企画展内容により異なる。,0,,0,,,,,2019-03-28
130001,0000000004,東京都,,東京都江戸東京博物館,トウキョウトエドトウキョウハクブツカン,,0801a,東京都墨田区横網1-4-1,,35.696597,139.795734,03-3626-9974,,,,火水木金土日,9:30,17:30,土曜日は9:30～19:30、入館は閉館の30分前まで。休館日：毎週月曜日（月曜が祝日または振替休日の場合はその翌日）、年末年始,江戸東京の歴史と文化について、豊富な資料や復元模型やパネルなどにより楽しみながら学べる博物館,,https://www.edo-tokyo-museum.or.jp/,,184-0005,JR総武線 両国駅西口下車 徒歩3分、都営地下鉄大江戸線 両国駅（江戸東京博物館前） A4出口 徒歩1分、都バス錦27・両28・門33系統、墨田区内循環バス「すみだ百景すみまるくん・すみりんちゃん（南部ルート）」「都営両国駅前（江戸東京博物館前）」下車、徒歩3分,1,有料,1,600,常設展観覧料（企画展観覧料を含む）：一般600円、大学生・専門学校生480円、高校生・中学生（都外）300円、中学生（都内在住または在学）無料,0,,0,,,,,2019-03-28
130001,0000000005,東京都,,江戸東京たてもの園,エドトウキョウタテモノエン,,0801a,東京都小金井市桜町3-7-1,都立小金井公園内,35.715437,139.51254,042-388-3300,,,,火水木金土日,9:30,17:30,"10月から３月までは9:30～16:30。入園は閉園時間の30分前まで。休園日：毎週月曜日（月曜日が祝日または振替休日の場合は、その翌日）、年末年始
",文化的歴史的価値の高い建造物を移築・復元して展示した野外博物館,,http://www.tatemonoen.jp/,,184-0005,JR中央線武蔵小金井駅北口から西武バス「小金井公園西口」下車。徒歩5分。「江戸東京たてもの園前」下車。徒歩3分。,1,有料,1,400,一般400円、65歳以上の方200円、大学生（専修・各種含む）320円、高校生・中学生（都外）200円、中学生（都内在学または在住）・小学生・未就学児童 無料,0,,0,,,,,2019-03-28
130001,0000000006,東京都,,東京都写真美術館,トウキョウトシャシンビジュツカン,,0802a,東京都目黒区三田1-13-3,恵比寿ガーデンプレイス内,35.641641,139.713289,03-3280-0099,,,,火水木金土日,10:00,18:00,木・金曜日は20:00まで。入館は閉館時間の30分前まで。休館日：毎週月曜日（月曜日が祝日の場合は開館し、翌平日休館）,わが国初めての写真と映像に関する総合的な専門美術館,,http://topmuseum.jp/,,153-0062,JR恵比寿駅東口より徒歩約7分、 東京メトロ日比谷線恵比寿駅より徒歩約10分,0,,1,,展覧会・上映により異なる。,0,,0,,,,,2019-03-28
130001,0000000007,東京都,,東京都現代美術館,トウキョウトゲンダイビジュツカン,,0802a,東京都江東区三好4-1-1,都立木場公園内,35.679643,139.808112,03-5245-4111,,,,火水木金土日,10:00,18:00,入館は17:30まで。休館日: 月曜日（祝日の場合は翌日）、年末年始、保守点検時・展示替時,絵画、彫刻、ファッション、建築、デザイン等幅広い現代美術に関する美術館,,http://www.mot-art-museum.jp/,,135-0022,東京メトロ半蔵門線「清澄白河駅」B2出口より徒歩9分、都営地下鉄大江戸線「清澄白河駅」Ａ３出口より徒歩13分、東京メトロ東西線「木場駅」3番出口より徒歩15分 、「木場駅前」より都営バス（業10）「業平橋駅前」行き「東京都現代美術館前」下車、東京メトロ東西線「木場駅」3番出口より徒歩15分 、「木場駅前」より都営バス（業10）「業平橋駅前」行き「東京都現代美術館前」下車、「木場駅前」より都営バス（東20）「錦糸町駅前」行き「東京都現代美術館前」下車、都営地下鉄新宿線「菊川駅」Ａ4出口より徒歩15分、「菊川駅前」より都営バス（業10）「新橋」行き「東京都現代美術館前」下車、「菊川駅前」より都営バス（東20）「東京駅丸の内北口」行き「東京都現代美術館前」下車、東京駅丸の内北口2番乗り場から都営バス（東20）「錦糸町駅前」行き「東京都現代美術館前」下車,0,,1,500,常設展観覧料：一般500円、学生400円、高校生・65歳以上250円、中学生以下無料,0,,0,,,,,2019-03-28
130001,0000000008,東京都,,東京都美術館,トウキョウトビジュツカン,,0802a,東京都台東区上野公園8-36,,35.717521,139.773155,03-3823-6921,,,,月火水木金土日,9:30,17:30,特別展開催中の金曜日：9:30～20:00。いずれも入館は閉館時間の30分前まで。【全館休館日】第1、第3月曜日（祝日・振替休日の場合は翌日）＊特別展・企画展：月曜日休室（祝日・振替休日の場合は翌日）,「アートへの入口」となることを目指し、美術団体の公募展及び国内外の名品を楽しめる特別展を行う美術館,,http://www.tobikan.jp/,,110-0007,JR上野駅「公園口」より徒歩7分東京メトロ銀座線・日比谷線上野駅「7番出口」より徒歩10分、京成線京成上野駅より徒歩10分、京成線京成上野駅より徒歩10分,0,,1,,※入館は無料です。観覧料は展覧会ごとに異なります。,0,,1,,,,,2019-03-28
130001,0000000009,東京都,,東京文化会館,トウキョウブンカカイカン,,1012a,東京都台東区上野公園5-45,,35.714415,139.775299,03-3828-2111,,,,月火水木金土日,10:00,19:00,開館時間は公演により異なる。,昭和３６年の開設以来、音響のすばらしさを内外の演奏家に絶賛される日本を代表する音楽・舞台芸術の拠点,,http://www.t-bunka.jp/,,110-8716,JR上野駅 公園口改札から徒歩約１分、東京メトロ上野駅7番出口から徒歩約5分 京成上野駅、正面口 改札から徒歩約7分、高速道路から首都高速都心環状線「上野」ランプ出口 ,0,,1,,公演ごとに異なる。,0,,0,,,,,2019-03-28
130001,0000000010,東京都,,東京芸術劇場,トウキョウゲイジュツゲキジョウ,,1012a,東京都豊島区西池袋1-8-1,,35.729842,139.708075,03-5391-2111,,,,月火水木金土日,9:00,22:00,利用可能曜日・時間は施設・公演により異なる。,世界最大級のパイプオルガンを備えた大ホールの他、特色ある3つのホールを持つ劇場,,http://www.geigeki.jp/,,171-0021,JR・東京メトロ・東武東上線・西武池袋線 池袋駅西口より徒歩2分。駅地下通路2b出口と直結しています。,1,有料,1,,公演ごとに異なる。,0,,0,,,,,2019-03-28
