整理番号,通称道路名,通称道路名／よみがな,起点,終点
1,内堀通り,うちぼりどおり,千代田区霞ヶ関一丁目,千代田区霞ヶ関一丁目
2,外堀通り,そとぼりどおり,中央区八重洲二丁目,中央区八重洲二丁目
3,明治通り,めいじどおり,港区南麻布二丁目,江東区夢の島
4,山手通り,やまてどおり,品川区東品川一丁目,板橋区氷川町
5,第一京浜,だいいちけいひん,港区東新橋一丁目,大田区東六郷三丁目
6,中央通り,ちゅうおうどおり,港区新橋一丁目,台東区上野六丁目
7,浅草通り,あさくさどおり,台東区東上野四丁目,江東区亀戸三丁目
8,桜田通り,さくらだどおり,千代田区霞ヶ関一丁目,品川区西五反田二丁目
9,第二京浜,だいにけいひん,品川区西五反田七丁目,大田区多摩川二丁目
10,中原街道,なかはらかいどう,品川区西五反田七丁目,大田区田園調布本町
11,目黒通り,めぐろどおり,港区白金台一丁目,世田谷区玉堤二丁目
12,青山通り,あおやまどおり,千代田区永田町一丁目,渋谷区渋谷三丁目
13,玉川通り,たまがわどおり,渋谷区桜丘町,世田谷区玉川一丁目
14,新宿通り,しんじゅくどおり,千代田区麹町一丁目,新宿区歌舞伎町一丁目
15,甲州街道,こうしゅうかいどう,新宿区内藤町,八王子市南浅川町
16,靖国通り,やすくにどおり,中央区東日本橋二丁目,新宿区歌舞伎町一丁目
17,青梅街道,おうめかいどう,新宿区歌舞伎町一丁目,西多摩郡奥多摩町留浦
18,目白通り,めじろどおり,千代田区九段北一丁目,練馬区三原台二丁目
19,春日通り,かすがどおり,豊島区東池袋一丁目,墨田区横川五丁目
20,川越街道,かわごえかいどう,豊島区東池袋一丁目,板橋区成増二丁目
21,白山通り,はくさんどおり,千代田区一ツ橋一丁目,豊島区西巣鴨三丁目
22,中仙道,なかせんどう,豊島区西巣鴨三丁目,板橋区舟渡三丁目
23,本郷通り,ほんごうどおり,千代田区神田錦町一丁目,北区滝野川一丁目
24,昭和通り,しょうわどおり,港区新橋一丁目,台東区根岸五丁目
25,日光街道,にっこうかいどう,台東区根岸五丁目,足立区西保木間四丁目
26,江戸通り,えどどおり,千代田区大手町二丁目,台東区花川戸二丁目
27,水戸街道,みとかいどう,墨田区向島二丁目,葛飾区金町三丁目
28,京葉道路,けいようどうろ,墨田区両国一丁目,江戸川区篠崎町二丁目
29,日比谷通り,ひびやどおり,千代田区大手町一丁目,港区芝四丁目
30,晴海通り,はるみどおり,千代田区日比谷公園,江戸川区東雲二丁目
